nombre,slug,descripcion,tipo_cocina,categoria_detectada,rango_precio,provincia,distrito,corregimiento,direccion,telefono,sitio_web,latitud,longitud,horario,rating,cantidad_resenas,imagen_url,delivery,reservas,activo,fuente,query_origen,google_place_id,google_data_id,google_data_cid
Azahar Restaurant,azahar-restaurant-652766,,Restaurante occidental,Restaurante,,Panamá,Panamá,,"Yoo & Arts Tower, Av. Vasco Nuñez de Balboa Piso 7, Panamá, Provincia de Panamá",203-9856,http://azaharpanama.com/,8.9760192,-79.52359799999999,Abierto · Cierra a las 11 p. m.,4.7,2307,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfQnq6KqhIVpPJ2zP_8QiQYJdntg4H2ESk6zkdHLGw3ow1FLJYBlgSgd52dryIkG9wJ5lvoR6dpXN5Oe6WN6dKf0Gt8RuhOqOEBI-yka14Rtdq8CceUbn1G9bl_3NXJavTCDda=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJRVVFAeeorI8RHkPxhPptSJs,0x8faca8e701455545:0x9b486dfa84f1431e,11189314196941652766
CASABLANCA,casablanca-141240,,Restaurante,Restaurante,,Panamá,Panamá,,"Plaza Simón Bolívar, Calle 4a Este, Panamá, Provincia de Panamá",6976-2800,https://www.instagram.com/casablancacasco/,8.9531676,-79.5337878,Abierto · Cierra a las 11:30 p. m.,4.4,1527,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0fw2wq7HQvnzxSFB5Fd-DZb8W0MBrYYbHqGn1j0somGRgzRP_eFWlVyDaVVEM4csAddYH0lKR5WuMLgKP8YroB-Y3aCfeph7Ucgc-qY0G1M5G8T-DmNLxZbTEq-bNmJn2njT9FA=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJRW6qOcuorI8R-F0xs8tINn8,0x8faca8cb39aa6e45:0x7f3648cbb3315df8,9166594131281141240
La Pulpería | Casco Antiguo,la-pulperia-casco-antiguo-819091,,Restaurante,Bar,,Panamá,Panamá,,"C. 9a Este, Panamá, Provincia de Panamá",393-7393,http://www.lapulperia.com.pa/,8.9529563,-79.536307,Abierto · Cierra a las 12 a. m.,4.9,6559,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEWaG1TjA3e7IRjVm5TYaxW3BNQrOtOFBEFeOVOtN-pY7rfbe2KRvMyWK5m6YEpaBPdO9LlgfOWgTuCfZj0H5Dgb7Bj5ZhNHfYyvLGNRbVZhhSKuxWGZZFDTS1vzgSYt2Tfxc7R=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJIUr5GJuprI8RkyBZykvdVtY,0x8faca99b18f94a21:0xd656dd4bca592093,15444775289700819091
Sabroso Panamá,sabroso-panama-347337,,Restaurante,Restaurante,,Panamá,Panamá,,"Isla Perico, Calzada de, Panamá",313-7166,https://www.sabroso-panama.com/,8.9152132,-79.5265568,Abierto · Cierra a las 11 p. m.,4.6,3218,https://lh3.googleusercontent.com/gps-cs-s/APNQkAETrJyWRyoKyrVYt7i4syZvnoU6JWTZZQ2UBXTkzoznwbPz6f6ElOngMx5K9aRjpczNQTk1HTABcICGgv5v_JN0dW2_MRGili4qv-gvXsX5fPghIJQBnFkxkyFKup9u_DDFqUNbo8OcOkE=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJPWxpqCWvrI8Rya91mBowtsQ,0x8facaf25a8696c3d:0xc4b6301a9875afc9,14174569767980347337
Restaurante El Enemigo - Casco Antiguo,restaurante-el-enemigo-casco-antiguo-335030,,Restaurante,Restaurante,,Panamá,Panamá,,"Entre calle 9 y 8, Av. Central España, Panamá, Provincia de Panamá",6999-2844,,8.9524071,-79.5359412,Abierto · Cierra a las 12 a. m.,4.8,878,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPhmtr6nr8jeD0ZJfkgZfCYWhtAUHYOd6Sb8el5j9x8vjwElEMeTNPeSN_rPVXqXJzOsAXzF_fO1FStLEjuWyxM2lo5HH0PgKXIgmiPVaxDj6BZe354CLYsT3szE48lBzfsbSFdd-Wwtq_=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJgaEka0WprI8R9r62DB6DklM,0x8faca9456b24a181:0x5392831e0cb6bef6,6022019816833335030
LAZOTEA | Jorge Rausch,lazotea-jorge-rausch-232020,,Restaurante,Restaurante,,Panamá,Panamá,,"Rooftop, Av. Eloy Alfaro, y, Provincia de Panamá",387-0529,https://lazoteapanama.com/,8.9543152,-79.5367509,Abierto · Cierra a la 1 a. m.,4.4,2770,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiRl3dXvpIyCG1VYzIEnbyKjL67_0LEtpF5lFHyPAclCnnnhg-qi3Du7CsjIhSdbAmUe4n6sZT2_H-iGjlCirWDN5ZYgMKGptub4lX9KAHJ1060nId3ejP4jOYb-acMWZkqbXY=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJZSlrk8qorI8RlLui8CA3F-k,0x8faca8ca936b2965:0xe9173720f0a2bb94,16795953949917232020
The Wallace,the-wallace-816720,,Restaurante,Restaurante,,Panamá,Panamá,,"Av. Samuel Lewis, Panamá, Provincia de Panamá",385-5383,http://www.thewallacepanama.com/,8.9856395,-79.5214462,Abierto · Cierra a las 11 p. m.,4.7,933,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8oJOvPOnS4xraPSWvTUBOu8aNh13e2D4NNeGMgakQxV0xyggBF7LWLn6eVmFj12DTWVtN01-NTRPEqwLucxtp7G6AJADiH0sjFcb9H7qBbrf0mXJiSIj4aeXBffhTjpSGu24=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJV2D7iqmprI8REJb6Fn893UQ,0x8faca9a98afb6057:0x44dd3d7f16fa9610,4962189980487816720
Filomena Cucina di Mare Panamá,filomena-cucina-di-mare-panama-484036,,Restaurante italiano,Italiana,,Panamá,Panamá,,"PH YOO 6TH, FLOOR, Provincia de Panamá",383-0822,http://www.filomenarest.com/,8.9760179,-79.5235866,Abierto · Cierra a las 11 p. m.,4.7,1242,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWPRVLPJfWSjBI0aS-7DmPCPCLy8PDeZiotBrVFn2jYLKEUC8e2q6LGr2tgFNKJ9tWkU6yZk3KE0gF1zas_UV4GdEYYLSm6MiN0_r1MjXDEqj5kurNWz3Xn1WcgrZOTNRtIqC0=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJg8DFldqprI8RBKMw39YD7Uo,0x8faca9da95c5c083:0x4aed03d6df30a304,5398975749689484036
"Al Alma Café Restaurante - Casa Lefevre, Plaza Catedral",al-alma-cafe-restaurante-casa-lefevre-plaza-catedral-724636,,Restaurante,Café,,Panamá,Panamá,,"Plaza de la Independencia, C. 5a Este, Panamá, Provincia de Panamá",6108-2043,https://www.alalma.com.pa/,8.952624799999999,-79.5343936,Abierto · Cierra a las 6 p. m.,4.6,824,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdl3EGLjKushRzgA-5quhIRrnemTOwSohgWTQRFk54nY6M9VNHJCq3gxVhw8dEAgQJblzLJCJGs3dA6yZS2qiMTG-ghiqjwciPlkceJeRr3tzTO__CeEMRuraSbEfVJ_mH0a5h=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJW89JheiprI8RHCt4H3wHQ1Y,0x8faca9e88549cf5b:0x5643077c1f782b1c,6215820140386724636
Hacienda Real Panamá,hacienda-real-panama-631902,,Restaurante,Restaurante,$$,Panamá,Panamá,,"Balboa Boutique Panama Strip Mall, Panamá, Provincia de Panamá",264-0311,http://www.haciendarealpanama.com/,8.9757479,-79.5208552,Abierto · Cierra a las 10 p. m.,4.6,2018,https://lh3.googleusercontent.com/gps-cs-s/APNQkAErg9zQD1hl4MBNDnE8Mt5B_SWp7LpmpCGpXNbjDNbFY86N6MBwdHMEYoEV0-QRwjev35vzqucLmhksw6AQTj41INVOhwXWNjom3Jacvf2KVDjAdbCKcJvRYjJfL1uYS49L5Ou2_Zr2gT8Y=w1000-h1000-c-n,,,True,SerpApi Google Maps,restaurantes en Ciudad de Panamá,ChIJFayX7-iorI8RHniSZ-MnXSw,0x8faca8e8ef97ac15:0x2c5d27e36792781e,3196755168151631902
