nombre,slug,descripcion,tipo_cocina,categoria_detectada,rango_precio,provincia,distrito,corregimiento,direccion,telefono,sitio_web,latitud,longitud,horario,rating,cantidad_resenas,imagen_url,delivery,reservas,activo,fuente,query_origen,google_place_id,google_data_id,google_data_cid
Salchimama,salchimama-764413,,Restaurante de comida rápida,Salchipapas,,Panamá,Panamá,,"primer local en la plaza de foodtrucks, C. 50, Panamá, Provincia de Panamá",6816-9887,,8.9924241,-79.5093649,Abierto · Cierra a las 11:30 p. m.,4.5,24,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-yKuvcNP9-XocA3w6ip9HHj5ngUEal_caVXMnFstVlh6Bt7B_naoULm-gvgd2l5S8VIoOdic5XxmnsLWzc0tmFUEvfXn0_Ljnc2qWqIIgMSsth6nOc6WkDY7IXMyLd8HaysDb=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJfdZjDruprI8R_YxHlSaPf4Q,0x8faca9bb0e63d67d:0x847f8f2695478cfd,9547507130924764413
"Gastronomía Zuliana - Salchipapas, Almuerzos y Comida Venezolana",gastronomia-zuliana-salchipapas-almuerzos-y-comida-venezolana-055981,,Restaurante de brunch,Salchipapas,,Panamá,Panamá,,"plaza food truck Market, C. 67 Este, Panamá, Provincia de Panamá",6377-5265,,8.9936765,-79.5119296,Abierto · Cierra a las 10:30 p. m.,5.0,5,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFlYsohlNzZkKBvjhve4LD0RYNO1A3RJJskDcqt5nvFRFgatVsfCaOvJdEgfE64jKe-pxrMB0rIQQwEYXj_VkvE2s4GkNW7kDElafjDhLWUbZV4xV88lvpi2SdmS7Ndgr_T3nA1S4ouiNT7OO_bUyd6XvwWVXGs4D06JU4F_we4oatcqpHAuOUs=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJyw3vX3qprI8RLa9Fd8Yq-NI,0x8faca97a5fef0dcb:0xd2f82ac67745af2d,15201947574082055981
Chamo Pana,chamo-pana-840684,,Restaurante de comida rápida,Salchipapas,,Panamá,Panamá,,"San Miguelito, Provincia de Panamá",6942-6237,,8.9747301,-79.5347285,Abierto · Cierra a las 3 a. m.,4.2,167,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9YnW9FA6dumBTJRzCeJUPsydvDEdncJl3H1LHyzDcogUb017fG555cKhsSl1IkvjTBVDG2YsQok9xD2icgqdb25aa5IQU0KOf7Bu1no7hCp8ZKsCO5tI11P9DI9RDyyvrNBCefA=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJe76GfOqorI8RrPNELC4qM1M,0x8faca8ea7c86be7b:0x53332a2e2c44f3ac,5995181906759840684
Poty salchipapas,poty-salchipapas-183639,,Hamburguesería,Salchipapas,,Panamá,Panamá,,"El coco, calle caridad, Panamá, Provincia de Panamá",6201-5181,,8.9722967,-79.5620726,Abierto · Cierra a las 11 p. m.,3.0,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEypzPRLQFF55vNGWmiC4ayEerGcby9D1v2dwpWKDgRbkN3nDxbo1BnG2YjN5nR6Ubj3BEb9eDir18Pp7psYNH5CVyp0CTooa9YwhNxYKE23JSFwwh88NYDsvlXcVvsdU0n8fPL7w=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJQRXQpj2nrI8RF_vAyxUcjbk,0x8faca73da6d01541:0xb98d1c15cbc0fb17,13370373748671183639
Salchipapas Karen,salchipapas-karen-634944,,,Salchipapas,,Panamá,Panamá,,"Calle 71 B 71, San Miguelito, Provincia de Panamá",6094-2455,,9.072201999999999,-79.4812738,Abierto · Cierra a las 11:30 p. m.,5.0,6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4bbORbQLHt1buBaAdc3Sn-MbLqB8fWH5uIfkgRY7MaLsd8y8q0gS0rL4__ZwPRsMG99-Tp6f-L5CxVSmKbe4LhwiJ-2YWucVx3b3fjpOgJiR21Jyu8sBQksdy6fSs5SoGQCdrfYlLVlVr=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJ9xb0iPRXq48RwHd54f1TLgo,0x8fab57f488f416f7:0xa2e53fde17977c0,733616139182634944
​Waro's Grill | Salchipapas y Pepitos en San Antonio,waro-s-grill-salchipapas-y-pepitos-en-san-antonio-388130,,Comida a domicilio,Salchipapas,,Panamá,Panamá,,"C. Los Jazmines, San Miguelito, Provincia de Panamá",6014-0194,https://www.instagram.com/warosgril?igsh=MXRvOGFvMWhmaGs2MA==,9.0672555,-79.440697,Cerrado · Abre a las 9 p. m.,5.0,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqsg52imJF7G0ZUUmiwMxP6heoz2nGSwdn5T5WvuJ04DjGpYXea7YzlzL_QVIq-7m6ijROZ99l3c2oVJWXcidCe-r1n55Rp3IbBBik_CawxCOcon2Bi5VNoqLYKPqUciAJTIe8R6QqvfHF=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJyzE6eYxVq48RYu89rO83o0Q,0x8fab558c793a31cb:0x44a337efac3def62,4945858318309388130
Papas Locas Parque Lefevre,papas-locas-parque-lefevre-611133,,Restaurante de comida rápida,Salchipapas,,Panamá,Panamá,,"2G72+VMH, Panamá, Provincia de Panamá",6170-6416,,9.0146778,-79.49826589999999,Abierto · Cierra a las 12 a. m.,3.8,129,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHP5fPm4z-7B7F0agOcgHlHjsUikqne3GhtXvRipg91AKI7ZQMru6UY0d7282vWza5jts0KpFsO17xdWMCxZgydBuHkkJZp10kJxrM9EBMhBWuIOr-3VVdjmOwaRhDGJ_U14T0Hqz05XhA=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJjzqWUKmprI8RPap6hyhoGpY,0x8faca9a950963a8f:0x961a6828877aaa3d,10816071978364611133
Mr Frías,mr-frias-860536,,Restaurante de comida rápida,Salchipapas,,Panamá,Panamá,,"Plaza La Lupita, C. 50, Panamá, Provincia de Panamá",6659-8463,,8.9922211,-79.50975559999999,Abierto · Cierra a las 11:45 p. m.,4.8,4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFDuKbkEm-RiHRWviGiLac1jDpLaexyWV7WUmJJYZsGmny2x8zPEO6zSSQbNKaGRpt_nmbHXLbGYsnMyKOZhQ0Kahm_8I-WNXnGmd7mZ6fh59X-PZNn0-7Y2SwO5ZG4YGL4Bndhx6YyQQhdowVYNVHKVpgaffagW8PXsqWh_HpwAZEJYRSPzTbY=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJRzntKgCprI8ReOUV5UMfIWU,0x8faca9002aed3947:0x65211f43e515e578,7287140048528860536
Monchi's,monchi-s-137536,,Restaurante de comida rápida,Salchipapas,,Panamá,Panamá,,Los libertadores Edificio z2 local PB 4,6150-1640,,9.0258995,-79.5207412,Abierto · Cierra a las 10:30 p. m.,4.0,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuMuVB02CPPWm2Ul1BZKfSVOerXxjlt4TkOYBgFCH2EfIL4Mp1GadBLau6RPMkW4HmjohNJe1ps3GReyR8PaZ0bqyoGotrN1CYAWdlVvOqKJFBdWexcXaGO2D1HvzxnmuUbXY=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJha42YNyprI8RAIGNtvrzM2Q,0x8faca9dc6036ae85:0x6433f3fab68d8100,7220382885735137536
Salchipaisitaspty,salchipaisitaspty-232234,,Restaurante,Salchipapas,,Panamá,Panamá,,"Vía Israel, Panamá, Provincia de Panamá",,,8.981119,-79.5160027,,3.5,15,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnP6Z8BcPPR-Z9Y1DpyYF4e9-prbUcKRoTjDagcwRPb1OQvXrcQMsKpab09aKnUPR4CCGtK99yox5BWl0KZSVwC39htJByzWj-AZzAV34Ko2gCp5F1mPjcj4xwEYCbEWeY9hP6o6ttreDr=w1000-h1000-c-n,,,True,SerpApi Google Maps,salchipapas en Ciudad de Panamá,ChIJB5CjyCCprI8R6ggUsL-Cadw,0x8faca920c8a39007:0xdc6982bfb01408ea,15882369320703232234
